iter	Passed	Remaining
812	2894	665
813	2897	662
814	2900	658
815	2903	654
816	2906	650
817	2909	647
818	2912	643
819	2915	639
820	2918	636
821	2921	632
822	2923	628
823	2927	625
824	2931	621
825	2934	618
826	2937	614
827	2940	610
828	2943	607
829	2948	603
830	2951	600
831	2954	596
832	2957	592
833	2960	589
834	2963	585
835	2966	582
836	2969	578
837	2972	574
838	2975	570
839	2978	567
840	2982	563
841	2985	560
842	2988	556
843	2991	552
844	2995	549
845	2998	545
846	3001	542
847	3004	538
848	3007	534
849	3011	531
850	3015	527
851	3017	524
852	3020	520
853	3023	516
854	3027	513
855	3030	509
856	3033	506
857	3037	502
858	3040	499
859	3043	495
860	3046	491
861	3049	488
862	3052	484
863	3055	480
864	3058	477
865	3061	473
866	3064	470
867	3067	466
868	3070	462
869	3073	459
870	3077	455
871	3080	452
872	3083	448
873	3086	444
874	3089	441
875	3092	437
876	3095	434
877	3097	430
878	3100	426
879	3103	423
880	3106	419
881	3109	416
882	3112	412
883	3115	408
884	3118	405
885	3122	401
886	3125	398
887	3128	394
888	3131	390
889	3134	387
890	3138	383
891	3142	380
892	3145	376
893	3148	373
894	3151	369
895	3155	366
896	3158	362
897	3161	359
898	3165	355
899	3168	352
900	3172	348
901	3175	344
902	3178	341
903	3181	337
904	3185	334
905	3188	330
906	3191	327
907	3194	323
908	3197	320
909	3200	316
910	3203	312
911	3206	309
912	3209	305
913	3212	302
914	3215	298
915	3218	295
916	3221	291
917	3224	288
918	3227	284
919	3230	280
920	3233	277
921	3237	273
922	3239	270
923	3243	266
924	3246	263
925	3249	259
926	3252	256
927	3255	252
928	3258	249
929	3261	245
930	3264	241
931	3268	238
932	3271	234
933	3274	231
934	3277	227
935	3280	224
936	3283	220
937	3286	217
938	3289	213
939	3292	210
940	3295	206
941	3298	203
942	3301	199
943	3304	196
944	3307	192
945	3310	188
946	3313	185
947	3316	181
948	3320	178
949	3322	174
950	3325	171
951	3328	167
952	3331	164
953	3334	160
954	3337	157
955	3340	153
956	3344	150
957	3347	146
958	3350	143
959	3353	139
960	3356	136
961	3359	132
962	3362	129
963	3365	125
964	3369	122
965	3372	118
966	3375	115
967	3378	111
968	3381	108
969	3384	104
970	3387	101
971	3390	97
972	3393	94
973	3396	90
974	3399	87
975	3402	83
976	3405	80
977	3408	76
978	3411	73
979	3414	69
980	3417	66
981	3420	62
982	3423	59
983	3426	55
984	3430	52
985	3432	48
986	3435	45
987	3438	41
988	3441	38
989	3444	34
990	3447	31
991	3450	27
992	3453	24
993	3456	20
994	3460	17
995	3463	13
996	3466	10
997	3469	6
998	3472	3
999	3475	0
